Title,Address,Description
Airbnb,"San Francisco, CA, USA",Book accommodations around the world.
Amplitude,"San Francisco, CA, USA",Digital Analytics Platform
Coinbase,"San Francisco, CA, USA","Buy, sell, and manage cryptocurrencies."
DoorDash,"San Francisco, CA, USA",Restaurant delivery.
Dropbox,"San Francisco, CA, USA",Backup and share files in the cloud.
Ginkgo Bioworks,"Boston, MA, USA",Our mission is to make biology easier to engineer.
GitLab,"San Francisco, CA, USA",A complete DevOps platform delivered as a single application.
Instacart,"San Francisco, CA, USA",Marketplace for grocery delivery and pickup
Matterport,"Sunnyvale, CA, USA",Turn physical objects and environments into 3D models in seconds.
Oklo,"Santa Clara, CA, USA","Emission free, always on power from advanced fission power plants."
PagerDuty,"San Francisco, CA, USA",Real-time visibility into critical apps and services all in one place.
Weave,"Lehi, UT, USA",Customer communication and payments platform.
Embark Trucks,"San Francisco, CA, USA",Self-driving semi trucks.
Lucira Health,"Emeryville, CA, USA",Next generation infectious disease test kits
Notable Labs,"Foster City, CA, USA",Personalized drug discovery for blood cancer.
Rigetti Computing,"Berkeley, CA, USA",Quantum coherent supercomputing.
Pardes Biosciences,"San Francisco, CA, USA",We break viruses
Momentus,"Santa Clara, CA, USA",The space infrastructure services company
Presto,"San Carlos, CA, USA",Digital meets physical for big chain restaurants
Algolia,"San Francisco, CA, USA",A developer-friendly and enterprise-grade search API.
Bellabeat,"San Francisco, CA, USA",Tech-powered women's wellness.
Benchling,"San Francisco, CA, USA",Unlocking the power of biotech with modern software for modern science
Bird,"Amsterdam, NH, Netherlands",The world’s largest omnichannel communications platform
Brex,"San Francisco, CA, USA","Business accounts, corporate cards, and spend management software."
Checkr,"San Francisco, CA, USA",People infrastructure for the future of work
Clipboard Health,Remote,Connects healthcare facilities with nurses nearby.
Deel,"San Francisco, CA, USA",The all-in-one HR and payroll platform for global teams
EquipmentShare,"Columbia, MO, USA",Cloud solutions for the construction industry.
Faire,"San Francisco, CA, USA",The global online platform empowering independent retail.
Fivetran,"Oakland, CA, USA",The leader in automated data movement
Flexport,"San Francisco, CA, USA",Platform for global logistics.
Flock Safety,"Atlanta, GA, USA",The first public safety operating system that eliminates crime.
Go1,"San Francisco, CA, USA",A learning platform that enables you to train your staff or customers.
GOAT Group,"Los Angeles, CA, USA","Platform for the greatest products from the past, present and future."
Groww,"Bengaluru, KA, India","Making financial services simple, transparent and delightful."
GrubMarket,"San Francisco, CA, USA",AI-powered technology enabler and digital transformer of American…
Gusto,"San Francisco, CA, USA",Provides growing businesses with everything to take care of their team
Honeylove,"San Francisco, CA, USA",Honeylove makes functional undergarments for women
Meesho,"Bengaluru, KA, India",Democratizing internet commerce for everyone in India
Mixpanel,"San Francisco, CA, USA",Mixpanel is event analytics for builders that need answers.
Moxion Power Co.,"Richmond, CA, USA",Mobile Energy Storage Technology
Newfront,"San Francisco, CA, USA",Modern insurance brokerage.
Nowports,,The core engine of supply chain in LATAM
Odeko,"New York, NY, USA",Our operations software makes it easier to run--and grow--your cafe
Optimizely,"San Francisco, CA, USA",The first all-in-one operating system for marketing
Podium,"Lehi, UT, USA",Get more leads. Make more money.
Rappi,"Bogotá, Bogota, Colombia",On-demand delivery and financial services for Latin America.
Razorpay,"Bengaluru, KA, India",India's only full-stack financial solutions company for businesses.
Reddit,"San Francisco, CA, USA",The frontpage of the internet.
Rippling,"San Francisco, CA, USA","One place to run all your HR, IT, and Finance. Globally."
Scale AI,"San Francisco, CA, USA",Data-centric infrastructure to accelerate the development of AI
Scentbird,"New York, NY, USA",Scentbird is a luxury fragrance subscription service.
Scribd,"San Francisco, CA, USA",World's largest online library.
ShipBob,"Chicago, IL, USA",Providing Amazon level logistics to e-commerce businesses.
SmartAsset,"New York, NY, USA",Marketplace connecting consumers to financial advisors
Stripe,"San Francisco, CA, USA",Economic infrastructure for the internet.
Truebill,"Silver Spring, MD, USA",Live your best financial life
Wave,"Dakar, Dakar Region, Senegal",Mobile money app for Africa
Webflow,"San Francisco, CA, USA",Professional website design and publishing platform.
Whatnot,"Los Angeles, CA, USA",Whatnot is the largest livestream shopping platform in the U.S.
Zapier,"Mountain View, CA, USA",The easiest way to automate your work.
Zepto,"MH, India",10-Minute Grocery Delivery in India
Focal Systems,"New York, NY, USA",Building the Operating System for B&M Retail using Deep Learning
Mio,"Austin, TX, USA",Mio powers seamless communication between workplace chat apps.
Daily,"San Francisco, CA, USA",The best video experiences run on Daily
Petcube,"San Francisco, CA, USA",Petcube is on the mission to improve lives of pets and pet owners…
Outschool,"San Francisco, CA, USA",A live online learning platform that empowers kids ages 3–18.
Mason,"Seattle, WA, USA",Mason is the fastest way to take smart devices from idea to end user
MagicBus,"Los Angeles, CA, USA",We make vanpool simple.
Tovala,"Chicago, IL, USA",A smart-oven-paired subscription meal service.
iSono Health,"San Francisco, CA, USA",AI-powered platform for Accessible and Personalized Breast Health…
GetAccept,"San Francisco, CA, USA",Close deals faster. Digitally.
Chatfuel,"San Francisco, CA, USA",Platform to easily create chatbots to engage with audiences on…
Yardbook,"San Mateo, CA, USA",Marketplace & Software Revolutionizing Yard Care
GoCardless,"London, England, United Kingdom",We’re building the world’s bank payment network.
Stealth Worker,"Menlo Park, CA, USA","Information Security (Cyber Security), Compliance and Privacy (GDPR &…"
Deepgram,"San Francisco, CA, USA",Building foundational AI for speech transcription and understanding.
SOUNDBOKS,"Copenhagen, Denmark",We're creating the loudest battery-driven speaker on the market
Lattice,"San Francisco, CA, USA",Modern people management platform.
Mux,"San Francisco, CA, USA",Video infrastructure for developers
Human Interest,"San Francisco, CA, USA",The 401(k) for small and medium-sized businesses.
Flirtey (SkyDrop),"Reno, NV, USA",Flirtey is the world’s first commercial drone delivery service and…
Eight Sleep,"New York, NY, USA",The sleep fitness company.
Instawork,"San Francisco, CA, USA",A flexible work app that connects businesses with hourly workers.
Cofactor Genomics,"St. Louis, MO, USA",Cofactor closes the precision medicine gap with predictive diagnostics
Click & Grow,"Palo Alto, CA, USA",Click & Grow makes indoor urban gardens and farms that take complete…
Bitmovin,"San Francisco, CA, USA",Powers OTT online video providers with video developer tools.
TetraScience,"Boston, MA, USA",The only R&D data cloud for life sciences
The Ticket Fairy,"Los Angeles, CA, USA",Revenue generation for live events
HER,"San Francisco, CA, USA","HER helps lesbian, bisexual and queer people meet each other"
Font Awesome,"Bentonville, AR, USA",Icons and social logos for your website.
"80,000 Hours","London, England, United Kingdom",An online guide that tells talented graduates how to maximise the…
Xendit,"Jakarta, Jakarta, Indonesia",Provides payment infrastructure for Southeast Asia
Shred Video,"San Francisco, CA, USA",Shred Video builds automated video & photo systems that allow…
Shape (ShapeScale),"San Francisco, CA, USA",ShapeScale is a personal 3D scanner and fitness tracker that…
RedCarpetUp,"Gurugram, HR, India",Credit cards for Indians that banks cannot see
Ottimate,"New York, NY, USA",Automated Accounts Payable
PickTrace,"Los Angeles, CA, USA",Workforce Management for Large Farms
Fountain,"San Francisco, CA, USA",High volume hiring made simple
MicroHealth,"New York, NY, USA",Digital hematology
Zeplin,"San Francisco, CA, USA",Deliver on the Promise of Design
Markhor,"San Francisco, CA, USA",Markhor is a DTC company that works with craftsmen to make shoes and…
Circle Medical,"San Francisco, CA, USA",Modern primary care via video and in-person
GiveCampus,"Washington, DC, USA",The fundraising platform for schools.
Drip Capital,"MH, India",Digital trade financing for small businesses
Chaldal,"Dhaka, Dhaka Division, Bangladesh",
Clerky,"Palo Alto, CA, USA",Makes legal paperwork easy for startups and their attorneys.
Bodyport,"San Francisco, CA, USA",Predicting and preventing heart disease.
Verge Genomics,"San Francisco, CA, USA",We use human data and AI to develop better drugs faster.
Thrive Agritech,"New York, NY, USA",We design and manufacture energy efficient LED lighting fixtures for…
Tesorio,"San Francisco, CA, USA",Tesorio is the cash flow performance platform that helps finance…
AgileMD,"San Francisco, CA, USA",Predictive analytics and clinical pathways for hospitals
Reach Labs,"Emeryville, CA, USA","Long range, wireless energy distribution that scales"
SunFarmer,"Kathmandu, Central Development Region, Nepal",Reliable and affordable solar energy in developing countries.
Confident LIMS,"Palo Alto, CA, USA",Laboratory Information Management System (LIMS) serving…
Branch8,"Kowloon, Hong Kong",Branch8 helps sellers to list and manage products on e-commerce…
Heroic Labs,"London, England, United Kingdom","Social Infrastructure for Games; Makers of Nakama game server, Satori…"
SnapMagic,"San Francisco, CA, USA",AI copilot for electronics design
Scope AR,"San Francisco, CA, USA",Scope AR is the leading provider of User Guided Augmented Reality…
PartnerStack,"Toronto, ON, Canada",PartnerStack is a full stack solution for partnerships.
Assembly,"Redwood City, CA, USA",Advanced manufacturing and distribution solutions (for China-based…
Gemnote,"San Leandro, CA, USA","Gemnote is the easiest way to design, create and send custom products."
New Story,"Atlanta, GA, USA",We pioneer solutions to end the global housing crisis by empowering…
Ironclad,"San Francisco, CA, USA",Digital contracting platform for legal teams.
Leaders In Tech (formerly InnerSpace),"San Francisco, CA, USA","Helping founders improve themselves, their companies, and the world."
teaBOT,"Toronto, ON, Canada",A robot that makes tea!
Teleport,"Oakland, CA, USA","The easiest, most secure way to access all your infrastructure"
Lugg,"San Francisco, CA, USA","Move anything, anytime, anywhere"
Shasqi,"San Francisco, CA, USA",Pioneering Click Chemistry in Humans to change cancer outcomes
Mashgin,"Palo Alto, CA, USA",Self-Checkout using Computer Vision.
Spire Health,"San Francisco, CA, USA",Remote patient monitoring for lung disease patients.
NimbleRx,"Redwood City, CA, USA",On-demand prescription delivery.
Quartzy,"Hayward, CA, USA",Marketplace for life science supplies.
Replika,"San Francisco, CA, USA",Replika is an AI friend that you can talk to designed to make you…
Tara AI,"San Jose, CA, USA","Meet Tara AI, your new engineering efficiency co-pilot."
Flip,"Los Angeles, CA, USA",Community-driven marketplace for sneakers.
X-Zell,"Singapore, Singapore","Early, pain-free cancer detection."
Transcriptic,"Menlo Park, CA, USA",The robotic cloud laboratory for the life sciences.
Zenflow,"South San Francisco, CA, USA","Medical device that provides a more effective, less invasive…"
Tab,"London, England, United Kingdom","Revolutionising the way travellers discover, plan and book a trip"
